source_code,src_db_name,src_table_name,ods_table_name,col_name,col_type,col_comm,core_tag,ext_tags,ref_table,ref_column,join_miss_rate,agg_suggest,unit,time_role,scd_type,complex_type,fact_candidate,evidence_score,confidence,review_status,reason,updated_at
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,project_to_be_evaluated,varchar(255),待评分项目,退化维度,,,,,,,,,,Y(初判),3,中,pending,"注释:待评分项目标识,事实表中退化维度",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,is_assessment_completed,varchar(255),是否已完成评估,低基数离散属性候选,,,,,,,,,,Y(初判),3,中,pending,"注释:是否已完成评估,枚举/状态类字段",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,evaluator,varchar(255),评分人员,退化维度,,,,,,,,,,Y(初判),3,中,pending,"命名+注释:评分人名称,事实表中退化维度",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,business_evaluation_total_score,varchar(255),业务评价总分,不可加度量,,,,,avg,分,,,,Y(初判),3,中,pending,"注释:业务评价总分,评价总分跨评价取均值",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,contract_amount,varchar(255),合同金额,可加度量,,,,,sum,元,,,,Y(初判),3,中,pending,"注释:合同金额,可跨维度求和",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,our_company_entity,varchar(255),我司主体,低基数离散属性候选,,,,,,,,,,Y(初判),3,中,pending,"注释:我司主体,枚举/状态类字段",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,supplier_name,varchar(255),供应商名称,退化维度,,,,,,,,,,Y(初判),3,中,pending,"注释:供应商名称,事实表退化维度(无独立供应商ID)",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,project_type,varchar(255),项目类型,低基数离散属性候选,,,,,,,,,,Y(初判),3,中,pending,"注释:项目类型,枚举/状态类字段",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,project_name,varchar(255),项目名称,退化维度,,,,,,,,,,Y(初判),3,中,pending,"注释:项目名称,事实表中退化维度",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,project_stage,varchar(255),项目阶段,低基数离散属性候选,,,,,,,,,,Y(初判),3,中,pending,"注释:项目阶段,枚举/状态类字段",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,bidding_contract_score,varchar(255),【商务配合】：招标合同（15分）,不可加度量,,,,,avg,分,,,,Y(初判),3,中,pending,"注释:【商务配合】：招标合同（15分）,评分项跨评价取均值",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,bidding_contract_basis,varchar(255),【商务配合】：招标合同-评分依据,维度属性,,,,,,,,,,Y(初判),3,中,pending,"注释:【商务配合】：招标合同-评分依据,评分依据文本描述",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,quotation_visa_score,varchar(255),【商务配合】：报价、签证（20分）,不可加度量,,,,,avg,分,,,,Y(初判),3,中,pending,"注释:【商务配合】：报价、签证（20分）,评分项跨评价取均值",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,quotation_visa_basis,varchar(255),【商务配合】：报价、签证-评分依据,维度属性,,,,,,,,,,Y(初判),3,中,pending,"注释:【商务配合】：报价、签证-评分依据,评分依据文本描述",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,payment_terms_score,varchar(255),【商务配合】：付款条件（15分）,不可加度量,,,,,avg,分,,,,Y(初判),3,中,pending,"注释:【商务配合】：付款条件（15分）,评分项跨评价取均值",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,payment_terms_basis,varchar(255),【商务配合】：付款条件-评分依据,维度属性,,,,,,,,,,Y(初判),3,中,pending,"注释:【商务配合】：付款条件-评分依据,评分依据文本描述",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,performance_score,varchar(255),【商务配合】：履约情况（30分）,不可加度量,,,,,avg,分,,,,Y(初判),3,中,pending,"注释:【商务配合】：履约情况（30分）,评分项跨评价取均值",2026-04-12
yummy001,yummy,business_evaluation_cost_consulting,ods_yummy_business_evaluation_cost_consulting,performance_basis,varchar(255),【商务配合】：履约情况-评分依据,维度属性,,,,,,,,,,Y(初判),3,中,pending,"注释:【商务配合】：履约情况-评分依据,评分依据文本描述",2026-04-12
